trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 0.95}",25,0,-162.9091434,"{0: 10, 1: 7, 2: 4, 3: 3, 4: 1}",0
2,FALSE,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-140.3872279,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
3,FALSE,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-248.1328878,"{0: 20, 1: 3, 2: 7, 3: 1, 4: 4}",0
4,FALSE,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-165.7293928,"{0: 9, 1: 2, 2: 5, 3: 2, 4: 2}",0
5,FALSE,"{'a': 0.5, 'e': 0.7499999999999998}",20,13,2.840117171,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,FALSE,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-152.9935134,"{0: 18, 1: 1, 2: 7, 3: 3, 4: 1}",0
7,FALSE,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-144.0866593,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
8,FALSE,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,4.8793056,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,FALSE,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-114.0381095,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
10,FALSE,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-16.40091055,"{0: 24, 1: 2, 2: 4, 3: 0, 4: 0}",0
11,FALSE,"{'a': 0.5, 'e': 0.4499999999999996}",20,-6,-23.38674772,"{0: 21, 1: 1, 2: 3, 3: 1, 4: 0}",0
12,FALSE,"{'a': 0.5, 'e': 0.39999999999999963}",30,1,5.868509646,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 0}",1
13,FALSE,"{'a': 0.5, 'e': 0.34999999999999964}",25,5,-67.11895735,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
14,FALSE,"{'a': 0.5, 'e': 0.29999999999999966}",20,-4,2.185699205,"{0: 21, 1: 0, 2: 3, 3: 0, 4: 0}",0
15,FALSE,"{'a': 0.5, 'e': 0.24999999999999967}",20,-40,-22.93192772,"{0: 52, 1: 2, 2: 4, 3: 1, 4: 1}",0
16,FALSE,"{'a': 0.5, 'e': 0.19999999999999968}",30,20,15.98901241,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,FALSE,"{'a': 0.5, 'e': 0.1499999999999997}",30,10,29.02559345,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,FALSE,"{'a': 0.5, 'e': 0.09999999999999969}",20,5,-14.57261698,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
19,FALSE,"{'a': 0.5, 'e': 0.049999999999999684}",20,13,13.46806119,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,FALSE,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,10,29.10399829,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,TRUE,"{'a': 0, 'e': 0}",30,10,38.41320663,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,TRUE,"{'a': 0, 'e': 0}",20,-8,-32.8264537,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 2}",0
3,TRUE,"{'a': 0, 'e': 0}",30,7,45.62082441,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,TRUE,"{'a': 0, 'e': 0}",25,12,27.17593483,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,TRUE,"{'a': 0, 'e': 0}",25,8,15.54308329,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,TRUE,"{'a': 0, 'e': 0}",30,19,17.94365716,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,TRUE,"{'a': 0, 'e': 0}",25,16,18.74209734,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,TRUE,"{'a': 0, 'e': 0}",30,17,20.0142791,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,TRUE,"{'a': 0, 'e': 0}",25,2,43.02870352,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,TRUE,"{'a': 0, 'e': 0}",25,8,33.81234682,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
