trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.25, 'e': 0.995}",20,9,-36.368445163284214,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
2,False,"{'a': 0.25, 'e': 0.99}",35,0,-187.11421007152646,"{0: 18, 1: 6, 2: 8, 3: 1, 4: 2}",0
3,False,"{'a': 0.25, 'e': 0.985}",20,5,-126.86983104666368,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 3}",1
4,False,"{'a': 0.25, 'e': 0.98}",20,13,-1.7699371974304272,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
5,False,"{'a': 0.25, 'e': 0.975}",25,0,-139.29972075522437,"{0: 12, 1: 2, 2: 10, 3: 0, 4: 1}",0
6,False,"{'a': 0.25, 'e': 0.97}",25,0,-175.9500119577562,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
7,False,"{'a': 0.25, 'e': 0.965}",20,0,-141.87892702884298,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
8,False,"{'a': 0.25, 'e': 0.96}",35,0,-166.44439039080532,"{0: 19, 1: 5, 2: 8, 3: 2, 4: 1}",0
9,False,"{'a': 0.25, 'e': 0.955}",25,0,-131.70774154099595,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
10,False,"{'a': 0.25, 'e': 0.95}",20,0,-94.35723003071008,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
11,False,"{'a': 0.25, 'e': 0.945}",25,0,-87.25203516180827,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.25, 'e': 0.94}",20,0,-97.31365856495964,"{0: 12, 1: 0, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.25, 'e': 0.9349999999999999}",30,0,-143.77359194799652,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
