trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,11,12.533929016256238,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.46118127185528,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-27.923713460692078,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,1,-52.05905036683785,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.02746306295705,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-136.83028953693722,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-48.636191739365586,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-159.3058571174204,"{0: 11, 1: 0, 2: 5, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,18,1.6014283610010367,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 1.0}",20,2,-69.20252539376631,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-167.42127568266793,"{0: 10, 1: 2, 2: 3, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-212.12196228133593,"{0: 19, 1: 1, 2: 5, 3: 1, 4: 4}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.69246412825015,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,8,-59.74674103176225,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 1}",1
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-212.8648414243253,"{0: 8, 1: 5, 2: 3, 3: 0, 4: 4}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-199.5933698736013,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 3}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-60.61882028292222,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,9,-23.37709728850437,"{0: 7, 1: 3, 2: 0, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,12,-36.28827179708449,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-310.57060880727397,"{0: 12, 1: 4, 2: 8, 3: 1, 4: 5}",0
1,True,"{'a': 0.5, 'e': 1.0}",30,0,-254.52255061497118,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 5}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-113.64791807909042,"{0: 11, 1: 5, 2: 2, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-19.07921255086071,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-44.147952562666724,"{0: 14, 1: 4, 2: 0, 3: 2, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.47350999345993,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-80.24766814541078,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",35,0,-198.36196229851467,"{0: 21, 1: 2, 2: 9, 3: 0, 4: 3}",0
8,True,"{'a': 0.5, 'e': 1.0}",35,0,-177.5113211407981,"{0: 23, 1: 3, 2: 5, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,6,-9.583791126815754,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-185.5598124439102,"{0: 19, 1: 2, 2: 5, 3: 1, 4: 3}",0
